"Date",High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz),
"23:00:00 02-May-2018",42005.19,41974.01,41989.20,,1306.51,1305.54,1306.01,
"22:00:00 02-May-2018",42001.65,41950.62,41993.14,,1306.40,1304.81,1306.13,
"21:00:00 02-May-2018",41958.49,41940.81,41955.44,,1305.05,1304.51,1304.96,
"20:00:00 02-May-2018",41975.45,41935.10,41953.99,,1305.58,1304.33,1304.91,
"19:00:00 02-May-2018",42116.11,41928.35,41944.91,,1309.96,1304.12,1304.63,
"18:00:00 02-May-2018",42216.42,41984.86,42116.03,,1313.08,1305.88,1309.95,
"17:00:00 02-May-2018",42001.74,41941.61,41992.97,,1306.40,1304.53,1306.13,
"16:00:00 02-May-2018",42028.82,41961.55,41969.26,,1307.24,1305.15,1305.39,
"15:00:00 02-May-2018",42027.94,41987.51,42015.24,,1307.22,1305.96,1306.82,
"14:00:00 02-May-2018",41990.16,41931.89,41987.51,,1306.04,1304.23,1305.96,
"13:00:00 02-May-2018",42088.06,41935.91,41959.78,,1309.09,1304.35,1305.10,
"12:00:00 02-May-2018",42136.21,42054.38,42079.38,,1310.58,1308.04,1308.82,
"11:00:00 02-May-2018",42134.36,42087.50,42098.67,,1310.53,1309.07,1309.42,
"10:00:00 02-May-2018",42150.75,42110.97,42119.73,,1311.03,1309.80,1310.07,
"09:00:00 02-May-2018",42156.54,42100.36,42137.89,,1311.21,1309.47,1310.63,
"08:00:00 02-May-2018",42130.98,42082.67,42121.26,,1310.42,1308.92,1310.12,
"07:00:00 02-May-2018",42168.60,42090.63,42118.60,,1311.59,1309.16,1310.03,
"06:00:00 02-May-2018",42134.20,42046.51,42118.60,,1310.52,1307.79,1310.03,
"05:00:00 02-May-2018",42126.00,42073.27,42075.04,,1310.27,1308.62,1308.68,
"04:00:00 02-May-2018",42148.66,42123.10,42125.84,,1310.97,1310.17,1310.26,
"03:00:00 02-May-2018",42178.32,42102.93,42144.40,,1311.89,1309.55,1310.84,
"02:00:00 02-May-2018",42123.67,42092.96,42103.33,,1310.19,1309.24,1309.56,
"01:00:00 02-May-2018",42105.90,41997.48,42098.67,,1309.64,1306.27,1309.42,
"00:00:00 02-May-2018",42035.09,41975.29,41997.48,,1307.44,1305.58,1306.27,
"23:00:00 01-May-2018",41989.68,41946.03,41975.29,,1306.03,1304.67,1305.58,
"22:00:00 01-May-2018",41975.93,41919.75,41953.67,,1305.60,1303.85,1304.91,
"21:00:00 01-May-2018",41926.18,41900.30,41919.75,,1304.05,1303.25,1303.85,
"20:00:00 01-May-2018",41962.43,41918.63,41919.43,,1305.18,1303.82,1303.84,
"19:00:00 01-May-2018",42012.83,41957.37,41961.87,,1306.75,1305.02,1305.16,
"18:00:00 01-May-2018",42033.89,41990.56,42000.29,,1307.40,1306.05,1306.36,
"17:00:00 01-May-2018",42031.39,41970.79,41995.95,,1307.32,1305.44,1306.22,
"16:00:00 01-May-2018",42051.09,41981.32,42030.91,,1307.94,1305.77,1307.31,
"15:00:00 01-May-2018",42004.31,41876.67,41984.37,,1306.48,1302.51,1305.86,
"14:00:00 01-May-2018",42040.88,41863.00,41897.57,,1307.62,1302.08,1303.16,
"13:00:00 01-May-2018",42088.54,41980.60,41980.60,,1309.10,1305.74,1305.74,
"12:00:00 01-May-2018",42125.92,42017.65,42060.89,,1310.26,1306.90,1308.24,
"11:00:00 01-May-2018",42086.13,42045.94,42068.61,,1309.02,1307.77,1308.48,
"10:00:00 01-May-2018",42109.60,42048.68,42067.64,,1309.75,1307.86,1308.45,
"09:00:00 01-May-2018",42119.09,42053.98,42109.60,,1310.05,1308.02,1309.75,
"08:00:00 01-May-2018",42152.20,42071.82,42079.22,,1311.08,1308.58,1308.81,
"07:00:00 01-May-2018",42171.09,42139.98,42147.78,,1311.67,1310.70,1310.94,
"06:00:00 01-May-2018",42203.32,42134.68,42154.21,,1312.67,1310.54,1311.14,
"05:00:00 01-May-2018",42193.19,42161.36,42185.80,,1312.35,1311.36,1312.13,
"04:00:00 01-May-2018",42197.37,42180.65,42193.19,,1312.48,1311.96,1312.35,
"03:00:00 01-May-2018",42210.63,42195.04,42195.04,,1312.90,1312.41,1312.41,
"02:00:00 01-May-2018",42218.19,42185.88,42206.86,,1313.13,1312.13,1312.78,
"01:00:00 01-May-2018",42282.41,42197.21,42201.63,,1315.13,1312.48,1312.62,
"00:00:00 01-May-2018",42286.43,42268.75,42280.48,,1315.25,1314.71,1315.07,
"23:00:00 30-Apr-2018",42309.34,42282.17,42284.26,,1315.97,1315.12,1315.19,
"22:00:00 30-Apr-2018",42320.83,42290.61,42309.18,,1316.32,1315.39,1315.96,
"21:00:00 30-Apr-2018",42296.56,42288.84,42290.77,,1315.57,1315.33,1315.39,
"20:00:00 30-Apr-2018",42318.58,42268.75,42289.48,,1316.25,1314.71,1315.35,
"19:00:00 30-Apr-2018",42397.51,42272.04,42272.04,,1318.71,1314.81,1314.81,
"18:00:00 30-Apr-2018",42420.18,42363.51,42388.35,,1319.42,1317.65,1318.43,
"17:00:00 30-Apr-2018",42446.14,42315.04,42375.09,,1320.22,1316.14,1318.01,
"16:00:00 30-Apr-2018",42376.61,42274.78,42356.12,,1318.06,1314.89,1317.42,
"15:00:00 30-Apr-2018",42303.47,42217.79,42300.17,,1315.79,1313.12,1315.68,
"14:00:00 30-Apr-2018",42318.74,42146.01,42234.99,,1316.26,1310.89,1313.66,
"13:00:00 30-Apr-2018",42248.73,42134.68,42146.01,,1314.08,1310.54,1310.89,
"12:00:00 30-Apr-2018",42263.60,42199.54,42245.84,,1314.54,1312.55,1313.99,
"11:00:00 30-Apr-2018",42337.47,42211.04,42243.11,,1316.84,1312.91,1313.91,
"10:00:00 30-Apr-2018",42364.07,42310.14,42337.47,,1317.67,1315.99,1316.84,
"09:00:00 30-Apr-2018",42356.68,42313.28,42356.68,,1317.44,1316.09,1317.44,
"08:00:00 30-Apr-2018",42375.41,42338.76,42351.21,,1318.02,1316.88,1317.27,
"07:00:00 30-Apr-2018",42401.05,42341.41,42365.28,,1318.82,1316.97,1317.71,
"06:00:00 30-Apr-2018",42502.32,42378.70,42401.05,,1321.97,1318.12,1318.82,
"05:00:00 30-Apr-2018",42515.50,42486.57,42502.32,,1322.38,1321.48,1321.97,
"04:00:00 30-Apr-2018",42499.67,42476.84,42496.86,,1321.89,1321.18,1321.80,
"03:00:00 30-Apr-2018",42515.67,42486.25,42486.89,,1322.39,1321.47,1321.49,
"02:00:00 30-Apr-2018",42595.40,42501.04,42506.82,,1324.87,1321.93,1322.11,
"01:00:00 30-Apr-2018",42591.38,42555.37,42590.74,,1324.74,1323.62,1324.72,
"00:00:00 30-Apr-2018",42597.81,42541.95,42585.11,,1324.94,1323.20,1324.54,
"23:00:00 29-Apr-2018",42563.25,42530.86,42551.11,,1323.87,1322.86,1323.49,
"22:00:00 29-Apr-2018",42656.32,42520.49,42536.48,,1326.76,1322.54,1323.03,
